TC ID,Module,Sub-module,Risk Level,Test Title,Pre-Condition,Test Steps,Expected Result,Priority,Test Data
CRM_CUST_TC_063,M06 - Import KH,,Medium,Import - Chọn Group để gán cho KH khi import,"Admin đã đăng nhập. Có Groups và file CSV hợp lệ.","1. Truy cập trang Import
2. Chọn file CSV hợp lệ
3. Dropdown Groups → Chọn 'VIP Customers'
4. Click 'Import'","1. Import thành công
2. Các KH được import thuộc Group 'VIP Customers'
3. Cột Groups trong danh sách hiển thị badge 'VIP Customers'",Medium,"Group: VIP Customers"
CRM_CUST_TC_064,M07 - Export,,Low,Export danh sách KH ra Excel (.xlsx),"Admin đã đăng nhập. Có ít nhất 1 KH.","1. Truy cập trang danh sách KH
2. Click 'Export' → Chọn 'Excel'","1. File .xlsx được tải về
2. File chứa đúng dữ liệu KH
3. Mở được bằng Excel/LibreOffice",High,—
CRM_CUST_TC_065,M07 - Export,,Low,Export danh sách KH ra CSV (.csv),"Admin đã đăng nhập. Có ít nhất 1 KH.","1. Click 'Export' → Chọn 'CSV'","1. File .csv được tải về
2. Encoding UTF-8
3. Dữ liệu đúng định dạng CSV",Medium,—
CRM_CUST_TC_066,M07 - Export,,Low,Export danh sách KH ra PDF (.pdf),"Admin đã đăng nhập. Có ít nhất 1 KH.","1. Click 'Export' → Chọn 'PDF'","1. File .pdf được tải về
2. Nội dung hiển thị đúng và đọc được",Medium,—
CRM_CUST_TC_067,M07 - Export,,Low,Print danh sách KH (Print dialog),"Admin đã đăng nhập.","1. Click 'Export' → Chọn 'Print'","1. Print dialog của trình duyệt mở ra
2. Preview bản in hiển thị đúng dữ liệu bảng",Low,—
CRM_CUST_TC_068,M08 - Bulk Actions,M08.1 - Checkbox,High,Chọn tất cả KH bằng checkbox header,"Admin đã đăng nhập. Có ít nhất 3 KH.","1. Truy cập danh sách KH
2. Click checkbox ở header (chọn tất cả)","1. Tất cả checkbox trong bảng được tick
2. Tất cả KH trên trang hiện tại được chọn",Medium,—
CRM_CUST_TC_069,M08 - Bulk Actions,M08.1 - Checkbox,High,Chọn riêng lẻ một số KH bằng checkbox,"Admin đã đăng nhập. Có ít nhất 3 KH.","1. Truy cập danh sách KH
2. Tick checkbox KH số 1
3. Bỏ qua KH số 2
4. Tick checkbox KH số 3","1. Chỉ checkbox KH 1 và 3 được tick
2. KH số 2 không được chọn",Medium,—
CRM_CUST_TC_070,M08 - Bulk Actions,M08.2 - Mass Delete,High,Bulk Delete - Xóa nhiều KH cùng lúc,"Admin đã đăng nhập. Có ít nhất 3 KH.","1. Tick checkbox 2 KH cần xóa
2. Click 'Bulk Actions'
3. Modal hiển thị
4. Tick checkbox 'Mass Delete'
5. Click 'Confirm'","1. Modal Bulk Actions hiển thị đúng
2. Sau Confirm: 2 KH bị xóa
3. Danh sách KH cập nhật
4. Thông báo xóa thành công",Critical,"2 KH được chọn"
CRM_CUST_TC_071,M08 - Bulk Actions,M08.2 - Mass Delete,High,Bulk Delete - Hủy (Close modal) không xóa dữ liệu,"Admin đã đăng nhập. Có ít nhất 2 KH.","1. Tick checkbox 2 KH
2. Click 'Bulk Actions'
3. Tick 'Mass Delete'
4. Click 'Close'","1. Modal đóng lại
2. KHÔNG có KH nào bị xóa
3. Dữ liệu nguyên vẹn",High,—
CRM_CUST_TC_072,M08 - Bulk Actions,M08.3 - Assign Groups,High,Bulk Assign Group cho nhiều KH,"Admin đã đăng nhập. Có ít nhất 2 KH và 1 Group.","1. Tick checkbox 2 KH
2. Click 'Bulk Actions'
3. Chọn Group từ dropdown
4. KHÔNG tick Mass Delete
5. Click 'Confirm'","1. Modal hiển thị cảnh báo về groups
2. Sau Confirm: 2 KH được gán Group đã chọn
3. Cột Groups trong bảng cập nhật badge mới",High,"Group: group có sẵn"
CRM_CUST_TC_073,M08 - Bulk Actions,M08.3 - Assign Groups,High,Bulk Actions - Không chọn Group → Tất cả groups bị gỡ,"Admin đã đăng nhập. Có KH đã được gán Group.","1. Tick checkbox KH có group
2. Click 'Bulk Actions'
3. Không chọn Group trong modal
4. KHÔNG tick Mass Delete
5. Click 'Confirm'","1. Cảnh báo hiển thị: 'If you do not select any group all groups assigned to the selected customers will be removed.'
2. Sau Confirm: Tất cả groups của KH bị gỡ
3. Cột Groups trong bảng trống",High,KH đã có group
CRM_CUST_TC_074,M08 - Bulk Actions,,High,Bulk Actions - Click khi chưa chọn KH nào,"Admin đã đăng nhập.","1. KHÔNG tick checkbox KH nào
2. Click nút 'Bulk Actions'","1. Nút Bulk Actions bị vô hiệu hóa (disabled) khi chưa chọn
2. Hoặc: Hiển thị thông báo yêu cầu chọn ít nhất 1 KH
3. Modal KHÔNG hiển thị",High,—
CRM_CUST_TC_075,M09 - Search & Filter,,Medium,Tìm kiếm real-time theo tên Company,"Admin đã đăng nhập. Có KH tên chứa 'ABC'.","1. Truy cập danh sách KH
2. Nhập 'ABC' vào ô Search","1. Bảng lọc real-time ngay khi nhập (không cần Enter)
2. Chỉ hiển thị KH có Company chứa 'ABC'",High,"Search: ABC"
CRM_CUST_TC_076,M09 - Search & Filter,,Medium,Tìm kiếm không có kết quả,"Admin đã đăng nhập.","1. Nhập 'XYZXYZXYZ_NOT_EXIST_12345' vào ô Search","1. Bảng hiển thị 'No entries found' hoặc tương đương
2. Không có KH trong kết quả",Medium,"Search: XYZXYZXYZ_NOT_EXIST_12345"
CRM_CUST_TC_077,M09 - Search & Filter,,Medium,Xóa từ khóa tìm kiếm - Bảng reset về trạng thái ban đầu,"Admin đã đăng nhập. Đang có từ khóa 'ABC' trong Search.","1. Nhập 'ABC' → Bảng lọc
2. Xóa hết từ khóa trong ô Search","1. Bảng reset về trạng thái ban đầu
2. Hiển thị lại tất cả KH theo phân trang mặc định",Medium,"Search: xóa trắng"
CRM_CUST_TC_078,M09 - Search & Filter,,Medium,Tìm kiếm với ký tự đặc biệt XSS trong Search box,"Admin đã đăng nhập.","1. Nhập '<script>alert(1)</script>' vào ô Search","1. Hệ thống xử lý an toàn
2. Không thực thi JavaScript
3. Bảng hiển thị 'No entries found' hoặc rỗng",High,"Search: <script>alert(1)</script>"
CRM_CUST_TC_079,M09 - Search & Filter,,Medium,Filter nâng cao - Lọc theo trạng thái Active,"Admin đã đăng nhập.","1. Click biểu tượng filter (hình phễu)
2. Chọn 'New Filter'
3. Click 'Add Rule'
4. Chọn tiêu chí: Active → Giá trị: Active
5. Áp dụng filter","1. Filter builder hiển thị thành công
2. Bảng chỉ hiển thị KH Active",High,"Filter: Active = Active"
CRM_CUST_TC_080,M09 - Search & Filter,,Medium,Filter nâng cao - Kết hợp 2 tiêu chí (AND logic),"Admin đã đăng nhập.","1. Mở filter builder
2. Add Rule 1: Active = Active
3. Add Rule 2: Country = Vietnam
4. Áp dụng filter","1. Bảng hiển thị KH thỏa mãn CẢ 2 điều kiện: Active AND Country = Vietnam",Medium,"Filter: Active=Active AND Country=Vietnam"
CRM_CUST_TC_081,M10 - Toggle Active,,Low,Toggle KH từ Active sang Inactive - Lưu ngay lập tức,"Admin đã đăng nhập. Có KH đang Active.","1. Truy cập danh sách KH
2. Tìm KH trạng thái Active (toggle = ON)
3. Click toggle switch","1. Toggle chuyển OFF ngay lập tức
2. Không cần reload trang
3. Trạng thái KH = Inactive trong database
4. Summary Stats cập nhật: Active -1, Inactive +1",High,KH đang Active
CRM_CUST_TC_082,M10 - Toggle Active,,Low,Toggle KH từ Inactive sang Active - Lưu ngay lập tức,"Admin đã đăng nhập. Có KH đang Inactive.","1. Tìm KH trạng thái Inactive (toggle = OFF)
2. Click toggle switch","1. Toggle chuyển ON ngay lập tức
2. Không cần reload trang
3. Trạng thái KH = Active trong database",High,KH đang Inactive
CRM_CUST_TC_083,M10 - Toggle Active,,Low,Toggle Active trong trang Contacts tổng hợp,"Admin đã đăng nhập. Có ít nhất 1 contact.","1. Truy cập trang Contacts tổng hợp
2. Click toggle Active của 1 contact","1. Toggle chuyển trạng thái ngay lập tức
2. Không cần reload trang",Medium,—
