NO,TC No.,Check Object 1,Check Object 2,Check content,Pre-condition,Test Data,Steps,Expected Result,Test IT Result,Executed Date,SQA,Core IT,Detail IT,Evidence,Test UT Result,Status fix bug,Executed Date DEV,DEV,Note
,REZIL_MINSP005_TC_113,Field Validation,Extra_Field_19,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_114,Field Validation,Extra_Field_19,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_115,Field Validation,Extra_Field_19,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_116,Field Validation,Extra_Field_19,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_117,Field Validation,Extra_Field_19,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_118,Field Validation,Extra_Field_20,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_119,Field Validation,Extra_Field_20,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_120,Field Validation,Extra_Field_20,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_121,Field Validation,Extra_Field_20,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_122,Field Validation,Extra_Field_20,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_123,Field Validation,Extra_Field_21,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_124,Field Validation,Extra_Field_21,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_125,Field Validation,Extra_Field_21,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_126,Field Validation,Extra_Field_21,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_127,Field Validation,Extra_Field_21,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_128,Field Validation,Extra_Field_22,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_129,Field Validation,Extra_Field_22,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_130,Field Validation,Extra_Field_22,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_131,Field Validation,Extra_Field_22,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_132,Field Validation,Extra_Field_22,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_133,Field Validation,Extra_Field_23,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_134,Field Validation,Extra_Field_23,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_135,Field Validation,Extra_Field_23,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_136,Field Validation,Extra_Field_23,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_137,Field Validation,Extra_Field_23,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_138,Field Validation,Extra_Field_24,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_139,Field Validation,Extra_Field_24,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_140,Field Validation,Extra_Field_24,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_141,Field Validation,Extra_Field_24,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_142,Field Validation,Extra_Field_24,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_143,Field Validation,Extra_Field_25,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_144,Field Validation,Extra_Field_25,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_145,Field Validation,Extra_Field_25,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_146,Field Validation,Extra_Field_25,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_147,Field Validation,Extra_Field_25,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_148,Field Validation,Extra_Field_26,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_149,Field Validation,Extra_Field_26,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_150,Field Validation,Extra_Field_26,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_151,Field Validation,Extra_Field_26,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_152,Field Validation,Extra_Field_26,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_153,Field Validation,Extra_Field_27,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_154,Field Validation,Extra_Field_27,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_155,Field Validation,Extra_Field_27,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_156,Field Validation,Extra_Field_27,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_157,Field Validation,Extra_Field_27,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_158,Field Validation,Extra_Field_28,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_159,Field Validation,Extra_Field_28,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_160,Field Validation,Extra_Field_28,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_161,Field Validation,Extra_Field_28,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_162,Field Validation,Extra_Field_28,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_163,Field Validation,Extra_Field_29,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_164,Field Validation,Extra_Field_29,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_165,Field Validation,Extra_Field_29,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_166,Field Validation,Extra_Field_29,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_167,Field Validation,Extra_Field_29,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_168,Field Validation,Extra_Field_30,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_169,Field Validation,Extra_Field_30,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_170,Field Validation,Extra_Field_30,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_171,Field Validation,Extra_Field_30,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_172,Field Validation,Extra_Field_30,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_173,Field Validation,Extra_Field_31,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_174,Field Validation,Extra_Field_31,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_175,Field Validation,Extra_Field_31,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_176,Field Validation,Extra_Field_31,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_177,Field Validation,Extra_Field_31,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_178,Field Validation,Extra_Field_32,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_179,Field Validation,Extra_Field_32,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_180,Field Validation,Extra_Field_32,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_181,Field Validation,Extra_Field_32,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_182,Field Validation,Extra_Field_32,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_183,Field Validation,Extra_Field_33,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_184,Field Validation,Extra_Field_33,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_185,Field Validation,Extra_Field_33,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_186,Field Validation,Extra_Field_33,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_187,Field Validation,Extra_Field_33,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_188,Field Validation,Extra_Field_34,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_189,Field Validation,Extra_Field_34,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_190,Field Validation,Extra_Field_34,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_191,Field Validation,Extra_Field_34,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_192,Field Validation,Extra_Field_34,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_193,Field Validation,Extra_Field_35,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_194,Field Validation,Extra_Field_35,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_195,Field Validation,Extra_Field_35,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_196,Field Validation,Extra_Field_35,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_197,Field Validation,Extra_Field_35,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_198,Field Validation,Extra_Field_36,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_199,Field Validation,Extra_Field_36,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_200,Field Validation,Extra_Field_36,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_201,Field Validation,Extra_Field_36,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_202,Field Validation,Extra_Field_36,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_203,Field Validation,Extra_Field_37,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_204,Field Validation,Extra_Field_37,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_205,Field Validation,Extra_Field_37,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_206,Field Validation,Extra_Field_37,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_207,Field Validation,Extra_Field_37,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_208,Field Validation,Extra_Field_38,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_209,Field Validation,Extra_Field_38,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_210,Field Validation,Extra_Field_38,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_211,Field Validation,Extra_Field_38,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_212,Field Validation,Extra_Field_38,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_213,Field Validation,Extra_Field_39,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_214,Field Validation,Extra_Field_39,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_215,Field Validation,Extra_Field_39,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_216,Field Validation,Extra_Field_39,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_217,Field Validation,Extra_Field_39,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_218,Field Validation,Extra_Field_40,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_219,Field Validation,Extra_Field_40,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_220,Field Validation,Extra_Field_40,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_221,Field Validation,Extra_Field_40,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_222,Field Validation,Extra_Field_40,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_223,Field Validation,Extra_Field_41,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_224,Field Validation,Extra_Field_41,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_225,Field Validation,Extra_Field_41,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_226,Field Validation,Extra_Field_41,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_227,Field Validation,Extra_Field_41,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_228,Field Validation,Extra_Field_42,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_229,Field Validation,Extra_Field_42,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_230,Field Validation,Extra_Field_42,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_231,Field Validation,Extra_Field_42,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_232,Field Validation,Extra_Field_42,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_233,Field Validation,Extra_Field_43,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_234,Field Validation,Extra_Field_43,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_235,Field Validation,Extra_Field_43,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_236,Field Validation,Extra_Field_43,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_237,Field Validation,Extra_Field_43,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_238,Field Validation,Extra_Field_44,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_239,Field Validation,Extra_Field_44,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_240,Field Validation,Extra_Field_44,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_241,Field Validation,Extra_Field_44,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_242,Field Validation,Extra_Field_44,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_243,Field Validation,Extra_Field_45,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_244,Field Validation,Extra_Field_45,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_245,Field Validation,Extra_Field_45,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_246,Field Validation,Extra_Field_45,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_247,Field Validation,Extra_Field_45,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_248,Field Validation,Extra_Field_46,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_249,Field Validation,Extra_Field_46,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_250,Field Validation,Extra_Field_46,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_251,Field Validation,Extra_Field_46,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
